Size_Bytes,Price,Free,DeveloperId,Reviews,Current_Version_Score,Current_Version_Reviews,Primary_Genre_Book,Primary_Genre_Business,Primary_Genre_Education,Primary_Genre_Entertainment,Primary_Genre_Finance,Primary_Genre_Food & Drink,Primary_Genre_Games,Primary_Genre_Health & Fitness,Primary_Genre_Lifestyle,Primary_Genre_Medical,Primary_Genre_Music,Primary_Genre_Navigation,Primary_Genre_News,Primary_Genre_Photo & Video,Primary_Genre_Productivity,Primary_Genre_Reference,Primary_Genre_Shopping,Primary_Genre_Social Networking,Primary_Genre_Sports,Primary_Genre_Travel,Primary_Genre_Utilities,Content_Rating_12+,Content_Rating_17+,Content_Rating_4+,Content_Rating_9+,Average_User_Rating
28150784.0,0.0,1.0,1253337114.0,3507.0,4.8041,3507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.8041
47198208.0,0.0,1.0,381051568.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
13932544.0,0.0,1.0,419456907.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
48039936.0,0.0,1.0,1564369432.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
48359424.0,0.0,1.0,1321636359.0,19.0,3.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
1267682304.0,0.0,1.0,320421928.0,92.0,3.25,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.25
38939648.0,0.0,1.0,1081559526.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
31602688.0,0.0,1.0,1049876918.0,20.0,2.29999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.29999
66201600.0,0.0,1.0,603539026.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
71251968.0,1.99,0.0,481610881.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
